date,oil_prod_usa
1973-01-01,9175.935
1973-02-01,9395.214
1973-03-01,9271.935
1973-04-01,9291.9
1973-05-01,9262.387
1973-06-01,9213.933
1973-07-01,9217.129
1973-08-01,9168.548
1973-09-01,9065.3
1973-10-01,9223.871
1973-11-01,9160.967
1973-12-01,9063.226
1974-01-01,8933.871
1974-02-01,9142.214
1974-03-01,8965.387
1974-04-01,8953.967
1974-05-01,8910.581
1974-06-01,8780.233
1974-07-01,8780.129
1974-08-01,8698.871
1974-09-01,8442.933
1974-10-01,8611.258
1974-11-01,8568.8
1974-12-01,8526.516
1975-01-01,8454.968
1975-02-01,8591.143
1975-03-01,8493.452
1975-04-01,8456.6
1975-05-01,8378.774
1975-06-01,8420.8
1975-07-01,8335.742
1975-08-01,8248.774
1975-09-01,8279.633
1975-10-01,8324.419
1975-11-01,8277.867
1975-12-01,8253.548
1976-01-01,8231.774
1976-02-01,8231.207
1976-03-01,8232.194
1976-04-01,8077.0
1976-05-01,8124.516
1976-06-01,8094.433
1976-07-01,8127.161
1976-08-01,8110.613
1976-09-01,8149.633
1976-10-01,8063.29
1976-11-01,8079.6
1976-12-01,8060.613
1977-01-01,7854.129
1977-02-01,8138.929
1977-03-01,8089.613
1977-04-01,8144.9
1977-05-01,8074.742
1977-06-01,8101.933
1977-07-01,8104.645
1977-08-01,8306.774
1977-09-01,8479.733
1977-10-01,8573.419
1977-11-01,8579.267
1977-12-01,8487.0
1978-01-01,8359.677
1978-02-01,8376.571
1978-03-01,8720.129
1978-04-01,8817.533
1978-05-01,8825.258
1978-06-01,8832.467
1978-07-01,8756.194
1978-08-01,8758.129
1978-09-01,8800.333
1978-10-01,8820.0
1978-11-01,8741.1
1978-12-01,8661.548
1979-01-01,8474.71
1979-02-01,8525.357
1979-03-01,8601.129
1979-04-01,8553.1
1979-05-01,8601.0
1979-06-01,8431.633
1979-07-01,8363.806
1979-08-01,8547.774
1979-09-01,8523.1
1979-10-01,8621.161
1979-11-01,8760.6
1979-12-01,8614.516
1980-01-01,8675.0
1980-02-01,8705.0
1980-03-01,8698.0
1980-04-01,8685.0
1980-05-01,8635.0
1980-06-01,8554.0
1980-07-01,8547.0
1980-08-01,8414.0
1980-09-01,8619.0
1980-10-01,8532.0
1980-11-01,8495.0
1980-12-01,8606.0
1981-01-01,8540.0
1981-02-01,8604.0
1981-03-01,8613.0
1981-04-01,8557.0
1981-05-01,8501.0
1981-06-01,8629.0
1981-07-01,8500.0
1981-08-01,8583.0
1981-09-01,8604.0
1981-10-01,8563.0
1981-11-01,8586.0
1981-12-01,8585.0
1982-01-01,8509.0
1982-02-01,8702.0
1982-03-01,8667.0
1982-04-01,8591.0
1982-05-01,8683.0
1982-06-01,8646.0
1982-07-01,8658.0
1982-08-01,8634.0
1982-09-01,8701.0
1982-10-01,8701.0
1982-11-01,8697.0
1982-12-01,8598.0
1983-01-01,8697.0
1983-02-01,8758.0
1983-03-01,8700.0
1983-04-01,8776.0
1983-05-01,8631.0
1983-06-01,8667.0
1983-07-01,8636.0
1983-08-01,8679.0
1983-09-01,8784.0
1983-10-01,8771.0
1983-11-01,8770.0
1983-12-01,8397.0
1984-01-01,8867.806
1984-02-01,8874.379
1984-03-01,8671.903
1984-04-01,8862.4
1984-05-01,8955.355
1984-06-01,8852.333
1984-07-01,8884.903
1984-08-01,8809.387
1984-09-01,8993.267
1984-10-01,8905.645
1984-11-01,8978.567
1984-12-01,8896.677
1985-01-01,8740.0
1985-02-01,9025.0
1985-03-01,9095.0
1985-04-01,9043.0
1985-05-01,9132.0
1985-06-01,9022.0
1985-07-01,8949.0
1985-08-01,8803.0
1985-09-01,8954.0
1985-10-01,8970.0
1985-11-01,8902.0
1985-12-01,9030.0
1986-01-01,9137.0
1986-02-01,9173.0
1986-03-01,9013.0
1986-04-01,8864.0
1986-05-01,8838.0
1986-06-01,8623.0
1986-07-01,8660.0
1986-08-01,8374.0
1986-09-01,8328.0
1986-10-01,8419.0
1986-11-01,8412.0
1986-12-01,8352.0
1987-01-01,8480.0
1987-02-01,8389.0
1987-03-01,8464.0
1987-04-01,8498.0
1987-05-01,8336.0
1987-06-01,8279.0
1987-07-01,8251.0
1987-08-01,8210.0
1987-09-01,8205.0
1987-10-01,8364.0
1987-11-01,8397.0
1987-12-01,8318.0
1988-01-01,8250.0
1988-02-01,8374.0
1988-03-01,8374.0
1988-04-01,8288.0
1988-05-01,8229.0
1988-06-01,8170.0
1988-07-01,8040.0
1988-08-01,8079.0
1988-09-01,7895.0
1988-10-01,8023.0
1988-11-01,8023.0
1988-12-01,7942.0
1989-01-01,7937.0
1989-02-01,7788.0
1989-03-01,7575.0
1989-04-01,7772.0
1989-05-01,7816.0
1989-06-01,7624.0
1989-07-01,7444.0
1989-08-01,7544.0
1989-09-01,7548.0
1989-10-01,7453.0
1989-11-01,7536.0
1989-12-01,7337.0
1990-01-01,7546.0
1990-02-01,7497.0
1990-03-01,7433.0
1990-04-01,7407.0
1990-05-01,7328.0
1990-06-01,7106.0
1990-07-01,7173.0
1990-08-01,7287.0
1990-09-01,7224.0
1990-10-01,7542.0
1990-11-01,7387.0
1990-12-01,7338.0
1991-01-01,7500.0
1991-02-01,7637.0
1991-03-01,7546.0
1991-04-01,7509.0
1991-05-01,7409.0
1991-06-01,7320.0
1991-07-01,7347.0
1991-08-01,7316.0
1991-09-01,7368.0
1991-10-01,7437.0
1991-11-01,7328.0
1991-12-01,7299.0
1992-01-01,7360.576
1992-02-01,7388.598
1992-03-01,7348.335
1992-04-01,7292.507
1992-05-01,7168.599
1992-06-01,7167.311
1992-07-01,7131.1
1992-08-01,6921.788
1992-09-01,7030.119
1992-10-01,7125.751
1992-11-01,7024.128
1992-12-01,7103.215
1993-01-01,6961.007
1993-02-01,6942.592
1993-03-01,6974.128
1993-04-01,6881.308
1993-05-01,6846.92
1993-06-01,6794.726
1993-07-01,6688.367
1993-08-01,6757.807
1993-09-01,6711.565
1993-10-01,6838.807
1993-11-01,6911.632
1993-12-01,6857.583
1994-01-01,6816.779
1994-02-01,6770.326
1994-03-01,6745.622
1994-04-01,6612.102
1994-05-01,6688.193
1994-06-01,6610.59
1994-07-01,6500.879
1994-08-01,6544.152
1994-09-01,6608.804
1994-10-01,6657.985
1994-11-01,6628.332
1994-12-01,6759.693
1995-01-01,6682.18
1995-02-01,6794.452
1995-03-01,6600.412
1995-04-01,6603.716
1995-05-01,6629.316
1995-06-01,6578.628
1995-07-01,6448.772
1995-08-01,6446.652
1995-09-01,6416.133
1995-10-01,6421.125
1995-11-01,6585.309
1995-12-01,6529.936
1996-01-01,6495.297
1996-02-01,6576.798
1996-03-01,6571.459
1996-04-01,6443.908
1996-05-01,6393.798
1996-06-01,6458.207
1996-07-01,6337.772
1996-08-01,6360.071
1996-09-01,6481.855
1996-10-01,6480.875
1996-11-01,6475.602
1996-12-01,6505.965
1997-01-01,6403.2
1997-02-01,6514.29
1997-03-01,6452.047
1997-04-01,6441.294
1997-05-01,6474.261
1997-06-01,6441.72
1997-07-01,6409.392
1997-08-01,6347.386
1997-09-01,6485.824
1997-10-01,6467.152
1997-11-01,6459.282
1997-12-01,6531.108
1998-01-01,6540.526
1998-02-01,6475.755
1998-03-01,6407.711
1998-04-01,6482.75
1998-05-01,6346.905
1998-06-01,6267.266
1998-07-01,6194.381
1998-08-01,6202.641
1998-09-01,5789.212
1998-10-01,6142.566
1998-11-01,6139.929
1998-12-01,6043.449
1999-01-01,5963.356
1999-02-01,5965.517
1999-03-01,5882.633
1999-04-01,5887.203
1999-05-01,5874.91
1999-06-01,5760.265
1999-07-01,5797.999
1999-08-01,5780.231
1999-09-01,5803.771
1999-10-01,5947.115
1999-11-01,5960.356
1999-12-01,5958.573
2000-01-01,5784.3871
2000-02-01,5851.82759
2000-03-01,5918.19355
2000-04-01,5854.16667
2000-05-01,5846.51613
2000-06-01,5822.86667
2000-07-01,5739.35484
2000-08-01,5788.74194
2000-09-01,5757.7
2000-10-01,5809.03226
2000-11-01,5832.66667
2000-12-01,5855.09677
2001-01-01,5798.93548
2001-02-01,5780.10714
2001-03-01,5880.32258
2001-04-01,5862.63333
2001-05-01,5829.41935
2001-06-01,5765.8
2001-07-01,5748.64516
2001-08-01,5725.41935
2001-09-01,5709.0
2001-10-01,5746.09677
2001-11-01,5881.36667
2001-12-01,5887.45161
2002-01-01,5873.41935483871
2002-02-01,5880.92857142857
2002-03-01,5885.8064516129
2002-04-01,5844.43333333333
2002-05-01,5905.06451612903
2002-06-01,5884.4
2002-07-01,5750.8064516129
2002-08-01,5795.8064516129
2002-09-01,5411.2
2002-10-01,5358.22580645161
2002-11-01,5623.53333333333
2002-12-01,5721.67741935484
2003-01-01,5755.0
2003-02-01,5783.0
2003-03-01,5803.0
2003-04-01,5726.0
2003-05-01,5663.0
2003-06-01,5659.0
2003-07-01,5498.0
2003-08-01,5574.0
2003-09-01,5609.0
2003-10-01,5614.0
2003-11-01,5547.0
2003-12-01,5571.0
2004-01-01,5585.0
2004-02-01,5572.0
2004-03-01,5617.0
2004-04-01,5560.0
2004-05-01,5556.0
2004-06-01,5407.0
2004-07-01,5484.0
2004-08-01,5325.0
2004-09-01,5081.0
2004-10-01,5170.0
2004-11-01,5423.0
2004-12-01,5510.0
2005-01-01,5446.0
2005-02-01,5501.0
2005-03-01,5601.0
2005-04-01,5563.0
2005-05-01,5596.0
2005-06-01,5442.0
2005-07-01,5253.0
2005-08-01,5198.0
2005-09-01,4214.0
2005-10-01,4555.0
2005-11-01,4857.0
2005-12-01,4988.0
2006-01-01,5047.742
2006-02-01,5031.929
2006-03-01,5027.161
2006-04-01,5081.667
2006-05-01,5150.548
2006-06-01,5162.8
2006-07-01,5094.161
2006-08-01,5039.742
2006-09-01,5030.867
2006-10-01,5108.161
2006-11-01,5064.2
2006-12-01,5186.065
2007-01-01,5107.806
2007-02-01,5117.893
2007-03-01,5119.258
2007-04-01,5180.233
2007-05-01,5211.226
2007-06-01,5075.133
2007-07-01,5037.903
2007-08-01,4969.677
2007-09-01,4902.033
2007-10-01,5021.935
2007-11-01,5034.033
2007-12-01,5110.548
2008-01-01,5115.032
2008-02-01,5148.172
2008-03-01,5189.29
2008-04-01,5180.1
2008-05-01,5143.129
2008-06-01,5137.767
2008-07-01,5176.806
2008-08-01,5002.968
2008-09-01,3973.6
2008-10-01,4737.677
2008-11-01,5078.1
2008-12-01,5102.677
2009-01-01,5144.097
2009-02-01,5239.214
2009-03-01,5218.581
2009-04-01,5278.133
2009-05-01,5376.903
2009-06-01,5269.3
2009-07-01,5397.935
2009-08-01,5417.581
2009-09-01,5558.833
2009-10-01,5524.452
2009-11-01,5394.6
2009-12-01,5451.742
2010-01-01,5404.161
2010-02-01,5553.429
2010-03-01,5515.355
2010-04-01,5392.3
2010-05-01,5400.871
2010-06-01,5379.5
2010-07-01,5297.871
2010-08-01,5447.323
2010-09-01,5615.767
2010-10-01,5630.548
2010-11-01,5575.733
2010-12-01,5607.452
2011-01-01,5494.613
2011-02-01,5403.536
2011-03-01,5615.452
2011-04-01,5557.7
2011-05-01,5622.903
2011-06-01,5587.967
2011-07-01,5440.258
2011-08-01,5664.581
2011-09-01,5614.433
2011-10-01,5901.065
2011-11-01,6035.233
2011-12-01,6047.548
2012-01-01,6171.387
2012-02-01,6266.586
2012-03-01,6326.129
2012-04-01,6324.2
2012-05-01,6368.161
2012-06-01,6269.4
2012-07-01,6424.419
2012-08-01,6349.097
2012-09-01,6595.8
2012-10-01,6966.0
2012-11-01,7076.667
2012-12-01,7098.742
2013-01-01,7082.742
2013-02-01,7151.25
2013-03-01,7205.871
2013-04-01,7371.633
2013-05-01,7325.613
2013-06-01,7276.5
2013-07-01,7524.323
2013-08-01,7532.032
2013-09-01,7837.233
2013-10-01,7757.645
2013-11-01,7916.833
2013-12-01,7928.29
2014-01-01,8072.742
2014-02-01,8152.143
2014-03-01,8292.774
2014-04-01,8521.267
2014-05-01,8643.677
2014-06-01,8746.233
2014-07-01,8845.903
2014-08-01,8919.548
2014-09-01,9081.7
2014-10-01,9263.355
2014-11-01,9322.067
2014-12-01,9566.194
