date,cpi_rus
1991-02-01,0.0019
1991-03-01,0.002
1991-04-01,0.0021
1991-05-01,0.0034
1991-06-01,0.0035
1991-07-01,0.0035
1991-08-01,0.0036
1991-09-01,0.0036
1991-10-01,0.0036
1991-11-01,0.0038
1991-12-01,0.0041
1992-01-01,0.0046
1992-02-01,0.0158
1992-03-01,0.0218
1992-04-01,0.0283
1992-05-01,0.0345
1992-06-01,0.0386
1992-07-01,0.046
1992-08-01,0.0509
1992-09-01,0.0552
1992-10-01,0.0616
1992-11-01,0.0757
1992-12-01,0.0954
1993-01-01,0.1195
1993-02-01,0.1503
1993-03-01,0.1874
1993-04-01,0.2251
1993-05-01,0.2672
1993-06-01,0.3156
1993-07-01,0.3784
1993-08-01,0.4631
1993-09-01,0.5835
1993-10-01,0.7177
1993-11-01,0.8577
1993-12-01,0.9982
1994-01-01,1.123
1994-02-01,1.324
1994-03-01,1.4673
1994-04-01,1.576
1994-05-01,1.7098
1994-06-01,1.828
1994-07-01,1.9376
1994-08-01,2.0409
1994-09-01,2.1352
1994-10-01,2.3052
1994-11-01,2.651
1994-12-01,3.038
1995-01-01,3.538
1995-02-01,4.166
1995-03-01,4.625
1995-04-01,5.039
1995-05-01,5.466
1995-06-01,5.899
1995-07-01,6.292
1995-08-01,6.631
1995-09-01,6.933
1995-10-01,7.242
1995-11-01,7.584
1995-12-01,7.93
1996-01-01,8.184
1996-02-01,8.52
1996-03-01,8.758
1996-04-01,9.003
1996-05-01,9.197
1996-06-01,9.345
1996-07-01,9.454
1996-08-01,9.522
1996-09-01,9.502
1996-10-01,9.533
1996-11-01,9.648
1996-12-01,9.829
1997-01-01,9.969
1997-02-01,10.202
1997-03-01,10.359
1997-04-01,10.507
1997-05-01,10.608
1997-06-01,10.708
1997-07-01,10.826
1997-08-01,10.926
1997-09-01,10.911
1997-10-01,10.878
1997-11-01,10.897
1997-12-01,10.963
1998-01-01,11.068
1998-02-01,11.236
1998-03-01,11.336
1998-04-01,11.408
1998-05-01,11.451
1998-06-01,11.509
1998-07-01,11.518
1998-08-01,11.537
1998-09-01,11.961
1998-10-01,16.557
1998-11-01,17.309
1998-12-01,18.291
1999-01-01,20.414
1999-02-01,22.125
1999-03-01,23.039
1999-04-01,23.681
1999-05-01,24.399
1999-06-01,24.941
1999-07-01,25.42
1999-08-01,26.13
1999-09-01,26.44
1999-10-01,26.83
1999-11-01,27.2
1999-12-01,27.53
2000-01-01,27.88
2000-02-01,28.53
2000-03-01,28.82
2000-04-01,29.01
2000-05-01,29.27
2000-06-01,29.78
2000-07-01,30.54
2000-08-01,31.08
2000-09-01,31.39
2000-10-01,31.8
2000-11-01,32.47
2000-12-01,32.97
2001-01-01,33.51
2001-02-01,34.43
2001-03-01,35.22
2001-04-01,35.87
2001-05-01,36.52
2001-06-01,37.17
2001-07-01,37.77
2001-08-01,37.94
2001-09-01,37.94
2001-10-01,38.17
2001-11-01,38.58
2001-12-01,39.11
2002-01-01,39.74
2002-02-01,40.96
2002-03-01,41.43
2002-04-01,41.88
2002-05-01,42.37
2002-06-01,43.08
2002-07-01,43.31
2002-08-01,43.62
2002-09-01,43.66
2002-10-01,43.84
2002-11-01,44.3
2002-12-01,45.02
2003-01-01,45.71
2003-02-01,46.81
2003-03-01,47.57
2003-04-01,48.07
2003-05-01,48.56
2003-06-01,48.95
2003-07-01,49.34
2003-08-01,49.69
2003-09-01,49.49
2003-10-01,49.66
2003-11-01,50.15
2003-12-01,50.63
2004-01-01,51.19
2004-02-01,52.09
2004-03-01,52.6
2004-04-01,53.0
2004-05-01,53.52
2004-06-01,53.92
2004-07-01,54.34
2004-08-01,54.84
2004-09-01,55.07
2004-10-01,55.31
2004-11-01,55.94
2004-12-01,56.56
2005-01-01,57.2
2005-02-01,58.7
2005-03-01,59.42
2005-04-01,60.22
2005-05-01,60.89
2005-06-01,61.38
2005-07-01,61.77
2005-08-01,62.06
2005-09-01,61.97
2005-10-01,62.12
2005-11-01,62.47
2005-12-01,62.93
2006-01-01,63.44
2006-02-01,64.99
2006-03-01,66.07
2006-04-01,66.61
2006-05-01,66.84
2006-06-01,67.16
2006-07-01,67.35
2006-08-01,67.8
2006-09-01,67.93
2006-10-01,67.99
2006-11-01,68.18
2006-12-01,68.61
2007-01-01,69.15
2007-02-01,70.31
2007-03-01,71.09
2007-04-01,71.51
2007-05-01,71.92
2007-06-01,72.37
2007-07-01,73.06
2007-08-01,73.7
2007-09-01,73.76
2007-10-01,74.35
2007-11-01,75.57
2007-12-01,76.5
2008-01-01,77.36
2008-02-01,79.15
2008-03-01,80.1
2008-04-01,81.06
2008-05-01,82.21
2008-06-01,83.32
2008-07-01,84.13
2008-08-01,84.56
2008-09-01,84.86
2008-10-01,85.54
2008-11-01,86.32
2008-12-01,87.03
2009-01-01,87.63
2009-02-01,89.71
2009-03-01,91.19
2009-04-01,92.39
2009-05-01,93.02
2009-06-01,93.55
2009-07-01,94.12
2009-08-01,94.71
2009-09-01,94.71
2009-10-01,94.68
2009-11-01,94.68
2009-12-01,94.95
2010-01-01,95.34
2010-02-01,96.91
2010-03-01,97.74
2010-04-01,98.36
2010-05-01,98.64
2010-06-01,99.14
2010-07-01,99.52
2010-08-01,99.88
2010-09-01,100.43
2010-10-01,101.27
2010-11-01,101.78
2010-12-01,102.6
2011-01-01,103.71
2011-02-01,106.17
2011-03-01,107.0
2011-04-01,107.66
2011-05-01,108.12
2011-06-01,108.64
2011-07-01,108.89
2011-08-01,108.88
2011-09-01,108.62
2011-10-01,108.58
2011-11-01,109.1
2011-12-01,109.56
2012-01-01,110.04
2012-02-01,110.59
2012-03-01,111.0
2012-04-01,111.64
2012-05-01,111.99
2012-06-01,112.57
2012-07-01,113.57
2012-08-01,114.97
2012-09-01,115.08
2012-10-01,115.72
2012-11-01,116.25
2012-12-01,116.64
2013-01-01,117.27
2013-02-01,118.41
2013-03-01,119.08
2013-04-01,119.48
2013-05-01,120.09
2013-06-01,120.88
2013-07-01,121.39
2013-08-01,122.39
2013-09-01,122.56
2013-10-01,122.81
2013-11-01,123.51
2013-12-01,124.21
2014-01-01,124.84
2014-02-01,125.58
2014-03-01,126.45
2014-04-01,127.74
2014-05-01,128.89
2014-06-01,130.05
2014-07-01,130.86
2014-08-01,131.5
2014-09-01,131.82
2014-10-01,132.67
2014-11-01,133.76
2014-12-01,135.47
2015-01-01,139.02
2015-02-01,144.38
2015-03-01,147.58
2015-04-01,149.37
2015-05-01,150.05
2015-06-01,150.58
2015-07-01,150.87
2015-08-01,152.07
2015-09-01,152.6
2015-10-01,153.47
2015-11-01,154.61
2015-12-01,155.77
2016-01-01,156.97
2016-02-01,158.48
2016-03-01,159.47
2016-04-01,160.21
2016-05-01,160.91
2016-06-01,161.57
2016-07-01,162.15
2016-08-01,163.03
2016-09-01,163.05
2016-10-01,163.32
2016-11-01,164.03
2016-12-01,164.75
2017-01-01,165.41
2017-02-01,166.43
2017-03-01,166.8
2017-04-01,167.02
2017-05-01,167.57
2017-06-01,168.19
2017-07-01,169.21
2017-08-01,169.33
2017-09-01,168.42
2017-10-01,168.16
2017-11-01,168.5
2017-12-01,168.87
2018-01-01,169.58
2018-02-01,170.11
2018-03-01,170.46
2018-04-01,170.96
2018-05-01,171.61
2018-06-01,172.26
2018-07-01,173.1
2018-08-01,173.57
2018-09-01,173.59
2018-10-01,173.87
2018-11-01,174.47
2018-12-01,175.35
2019-01-01,176.82
2019-02-01,178.61
2019-03-01,179.39
2019-04-01,179.96
2019-05-01,180.49
2019-06-01,181.1
2019-07-01,181.17
2019-08-01,181.54
2019-09-01,181.1
2019-10-01,180.81
2019-11-01,181.04
2019-12-01,181.55
2020-01-01,182.21
2020-02-01,182.93
2020-03-01,183.54
2020-04-01,184.55
2020-05-01,186.08
2020-06-01,186.58
2020-07-01,186.99
2020-08-01,187.65
2020-09-01,187.57
2020-10-01,187.44
2020-11-01,188.25
2020-12-01,189.58
2021-01-01,191.16
2021-02-01,192.44
2021-03-01,193.94
2021-04-01,195.22
2021-05-01,196.35
2021-06-01,197.8
2021-07-01,199.17
2021-08-01,199.79
2021-09-01,200.13
2021-10-01,201.33
2021-11-01,203.56
2021-12-01,205.51
2022-01-01,207.2
2022-02-01,209.25
2022-03-01,211.7
2022-04-01,227.81
2022-05-01,231.36
2022-06-01,231.64
2022-07-01,230.83
2022-08-01,229.93
2022-09-01,228.73
2022-10-01,228.85
2022-11-01,229.26
2022-12-01,230.11
2023-01-01,231.9
2023-02-01,233.85
2023-03-01,234.93
2023-04-01,235.8
2023-05-01,236.69
2023-06-01,237.43
2023-07-01,238.31
2023-08-01,239.81
2023-09-01,240.48
2023-10-01,242.57
2023-11-01,244.58
2023-12-01,247.3
2024-01-01,249.1
2024-02-01,251.2
2024-03-01,253.0
2024-04-01,253.9
2024-05-01,255.2
2024-06-01,257.1
2024-07-01,258.7
2024-08-01,261.7
2024-09-01,262.2
2024-10-01,263.5
2024-11-01,265.5
2024-12-01,269.2
2025-01-01,272.8
2025-02-01,276.2
2025-03-01,278.4
2025-04-01,280.2
2025-05-01,281.3
2025-06-01,282.5
2025-07-01,283.1
2025-08-01,284.7
2025-09-01,283.6
2025-10-01,284.5
2025-11-01,286.0
2025-12-01,287.2
2026-01-01,288.1
2026-02-01,292.7
2026-03-01,294.9
2026-04-01,296.7
