date,ret_t
2000-01-01,20.508305993045504
2000-02-01,-0.8952209807450662
2000-03-01,27.505884186678145
2000-04-01,-5.413489391900745
2000-05-01,-12.123872961663288
2000-06-01,-12.476114853961747
2000-07-01,0.1575969698660642
2000-08-01,15.964507936641091
2000-09-01,-16.54081842426564
2000-10-01,-7.544209771559857
2000-11-01,-26.992278758792867
2000-12-01,-5.233155712159056
2001-01-01,13.365134490755858
2001-02-01,-8.627179294205256
2001-03-01,3.0102239621030784
2001-04-01,4.359661503868128
2001-05-01,14.028449883654318
2001-06-01,3.711174317071993
2001-07-01,-10.539744281177878
2001-08-01,-3.958926769203003
2001-09-01,-14.644590702854602
2001-10-01,10.72869174168357
2001-11-01,11.881051483836881
2001-12-01,8.841067041342603
2002-01-01,8.281050696920037
2002-02-01,-2.3054188968726876
2002-03-01,13.136916083551085
2002-04-01,11.42881702640125
2002-05-01,-4.035161635220463
2002-06-01,-10.897130226000186
2002-07-01,-8.171124938721174
2002-08-01,2.91758729086681
2002-09-01,-0.8714771366611935
2002-10-01,6.725309797153962
2002-11-01,2.116916036266617
2002-12-01,-2.3930793806892923
2003-01-01,-5.0733946146139255
2003-02-01,8.024123744567476
2003-03-01,-6.396492112307678
2003-04-01,11.687844280930333
2003-05-01,11.979978380792716
2003-06-01,7.044192303442578
2003-07-01,-6.471708692296372
2003-08-01,11.053367235905922
2003-09-01,6.644511321486058
2003-10-01,-9.76432065316493
2003-11-01,2.3490412697444034
2003-12-01,5.048582879856877
2004-01-01,5.8437121456200956
2004-02-01,5.149882758105855
2004-03-01,7.698060338048683
2004-04-01,-14.515750107264214
2004-05-01,-5.785968536045181
2004-06-01,-0.8492545123865809
2004-07-01,-6.951440899859134
2004-08-01,7.923671387144626
2004-09-01,10.235247951291342
2004-10-01,3.0928349121378127
2004-11-01,-11.478018536099892
2004-12-01,-4.404462227538914
2005-01-01,3.045777550144654
2005-02-01,7.268124675591753
2005-03-01,-7.2756746959270195
2005-04-01,-2.03540156130582
2005-05-01,0.5650348825110783
2005-06-01,5.002977215051786
2005-07-01,8.423778923458295
2005-08-01,10.807377451856798
2005-09-01,13.071167625279122
2005-10-01,-6.004671414310666
2005-11-01,10.869277956071134
2005-12-01,6.065003938424632
2006-01-01,13.92222414387801
2006-02-01,9.58877310282693
2006-03-01,-3.300070765701649
2006-04-01,12.677886441181325
2006-05-01,-15.207550862654236
2006-06-01,3.341611396133202
2006-07-01,3.320881717897078
2006-08-01,4.176371876950151
2006-09-01,-5.980186694117494
2006-10-01,4.17992441612987
2006-11-01,8.03621975521155
2006-12-01,8.186359384729045
2007-01-01,-2.9646911964174922
2007-02-01,-1.7656451048206698
2007-03-01,1.4513502478235092
2007-04-01,-1.7625320208944009
2007-05-01,-7.218843462047601
2007-06-01,5.287191871397418
2007-07-01,3.0782357220343743
2007-08-01,-4.237643256177798
2007-09-01,4.71633877198618
2007-10-01,5.550197879424935
2007-11-01,-2.92088299691652
2007-12-01,0.8210585474853762
2008-01-01,-19.33227978526405
2008-02-01,3.036586228721047
2008-03-01,-3.1385289692907086
2008-04-01,1.170541214422877
2008-05-01,12.972776759026377
2008-06-01,-10.675156766375618
2008-07-01,-16.903842175798086
2008-08-01,-10.814076598973477
2008-09-01,-27.556139746470784
2008-10-01,-34.7295047374292
2008-11-01,-18.918253215096726
2008-12-01,0.5149006535631152
2009-01-01,0.17599926218891582
2009-02-01,4.0314265359002945
2009-03-01,13.246074904084505
2009-04-01,16.14920385289526
2009-05-01,19.25474682500882
2009-06-01,-15.088607146922845
2009-07-01,7.471612640639742
2009-08-01,2.9815441897469013
2009-09-01,9.199293485973062
2009-10-01,3.3165905758854484
2009-11-01,3.78852109212786
2009-12-01,6.125057938664211
2010-01-01,3.1331285868382177
2010-02-01,-8.61356456528593
2010-03-01,8.26928654752377
2010-04-01,-1.6100999472636186
2010-05-01,-7.758503761116832
2010-06-01,-2.2702782133168755
2010-07-01,6.10870576495589
2010-08-01,-2.401631374076093
2010-09-01,4.53524256098623
2010-10-01,4.775743950904675
2010-11-01,2.2256518686460325
2010-12-01,6.729612323580572
2011-01-01,1.0011606872543102
2011-02-01,0.7645415144119045
2011-03-01,1.2121910573464703
2011-04-01,-4.65155592099438
2011-05-01,-4.860003447492123
2011-06-01,-0.4623919256621589
2011-07-01,2.059251975513034
2011-08-01,-9.78755458271388
2011-09-01,-12.103048761226772
2011-10-01,9.261766525747221
2011-11-01,-0.40972606292716385
2011-12-01,-7.135536772372075
2012-01-01,7.233955170423681
2012-02-01,4.8785614973891755
2012-03-01,-5.5288048288859795
2012-04-01,-3.7683731971787244
2012-05-01,-12.086387832614118
2012-06-01,5.506174037315182
2012-07-01,0.5111875186482528
2012-08-01,-0.10217600888199518
2012-09-01,2.3583559799535747
2012-10-01,-2.8126964409622355
2012-11-01,-1.8505029503076527
2012-12-01,4.439146143610163
2013-01-01,4.230757910112241
2013-02-01,-4.972176661316592
2013-03-01,-3.8107657012396006
2013-04-01,-4.066770489347908
2013-05-01,-3.119727480928217
2013-06-01,-2.1262619642230334
2013-07-01,2.9293179541882832
2013-08-01,-1.6334290567784833
2013-09-01,6.8080055508884145
2013-10-01,2.984489476607074
2013-11-01,-2.63295907173982
2013-12-01,1.09270563811981
2014-01-01,-3.8612829160872923
2014-02-01,-1.2629301189850446
2014-03-01,-7.1904510361905
2014-04-01,-4.608135367433942
2014-05-01,8.31539509636712
2014-06-01,2.154046309992517
2014-07-01,-7.400135263241351
2014-08-01,1.0299598216553951
2014-09-01,0.4938526914026351
2014-10-01,4.697297860270718
2014-11-01,2.1739022069472873
2014-12-01,-10.632526883543477
